,Name,Links
0,Shop on eBay,https://ebay.com/itm/123456?amdata=enc%3AAQAHAAACkJP7Bh9Dz5E5ggRoRs9bsWlIDfdHrqQhIkXRvenGEZXxqLBsppEGt4cYLjuh4bDcN%252Bw2kLvTx6UnwQsuxZbVTMJz9Vzq5pLbAK3t8%252FpftUheGJOEM1ORf%252BgZU%252BZUn00woNx1EEcQ0sH2z5U9XnwcABr4YWU%252BYgffA%252BPvYv1jJBko%252BaVP%252FAvF%252FUUUslbU3%252BZjJt2SMIhxMCfrBUF9ZlV%252B7wQFPpqwYUN35RZci%252FS6k1OzGD5oK6c6v068k%252FZc9ijON6n%252FygHJRpqKQ2iFvSFYGoJaJHee9IksAhLejQxMXS2o0nrFSWn%252BxEJpM3C6yRGd4QvVlOxe8fLfgQdmz%252BqPMBwsMJdmaAQYo4nbEpElj6%252FdM%252BVWXa5NTEHQa1fa1RycCa8ALN%252FM86oUlJTa6DuHxkgf7poieBhky%252B%252FspBcbS4lu4MRKJcZgPtvIzaLkqjIUIDw9npbaPFTsihp0rIIbUUQkm%252BGCQp5C%252FtZ%252F6g9lauRuFZp0pUUig1Q6Fj8qptJHuCW%252Bk7zLrU4%252FEVKNTfIde4VayAecQjky%252BKIgb0OWUQqgM87k9cqd68aetuGGMplg1ZxfjcajBPpABLG2XiIGyy0JDIFgEmbssxl5rj0l1ZLfwvdnawfqJ8yaqmSHE5qLCoGpY00ugm5LKk2DsJ8Bw3tXL21v40zk8URDT007STG71hGg%252F5O9SpJ%252Bh60C6RInSMil2Rl7TKFHp9CWqvcaBYIlKa47QQ4DSOgqQu706GEXPDsbtcKfMB%252FWgokLaQ8hhGDDVZH9K6gICQUq5UdO7pW%252BQkMnVOFbKlkWjr033Lxj9ZXjClnb4aFzhWm%252FvzGM2pa3kYWZFgZijMBJxd4zeAtNzZsglhlS9e%252Fxvs5j02Eg%7Cclp%3A2334524%7Ctkp%3ABFBMuqCapbRf&src=urllib&epid=5033531666&_trkparms=ispr%3D1&hash=item3a36786edd:g:mYwAAOSwaxFhrmFA:rk:1:pf:1
1,Apple iPad Mini 1st Gen - 16GB 32GB 64GB - Wi-Fi 7.9in - Very Good,https://www.ebay.com/itm/253486107832?_trkparms=ispr%3D5&hash=item3b04f30cb8:g:1qQAAOSwUN9apurI&amdata=enc%3AAQAGAAACYPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSg3Ye8yTWgOW7pmE1t838djXM545ktIFg5gxJ4%252FhAmFSN4hIaLujlxh4nLuZG8AzOFK%252B8sEg9JopgLrxXfSFmphDWCB9cWdwE3ZiTIISIDeaTw55LoNBmcp2BjULoK8p6tM1UtcQ9SJvgO39tVyg1w2op2MRqEZ6jzLCQ8kyNgLXxy26%252BAsw6c1Mx2FOc0GlxmxX%252Bd89GQXg7Tuo7x9FwCWCTy2o2fsd6%252BUgtZnlHS8dQ596R4XFDwsMosDH21pJSbwbxtvfxsEhsnU8pzRGFVyYPM%252Fgu757Go%252BnyAPflQVdomIFPaewDYRAbZSxVhePf8b0Wztr5nqY5PBASXVTdtVdBDAtO54ZeqKYOiuGW09Icu4vuNsar%252B6SD9hd%252FgFz5kHEymUYa6OrqaeRfFah5ma5SqOR3256GvN%252FqUbkAUQQ9E10mIFvMgKQ0rUuzxC8WMr1%252F6CX9ogRT7jRKRzgBKCwLmbHuq19xR0GlqBqZZQHdZbmAxkg4D2DWxoVQW%252BTlDo7PqUdnDbcgHd4Xw%252F7Xz84IObXPxhaPX8nu%252Fi6NXrisnRZoCsRSBQGmh38SJ2QFzxZzIICMipFoWfJyDvlNGonzA4pkWEZZHQ%252BJH1zMVxqFumzQGja1cb0wSrbfyWdZzkDcVXiimMhbv2lcEhYCEJwjd6u%252FfL3z6jWocg6GlxSE5WV4ArQXI4cdNVDtU04TvGbhn8EXpUdLGxrO2kZB9fzpUeI%252FwQybkmj%252FVf%252BbVSoyHpSEtmZHr4YVJNzOA54d%7Cclp%3A2334524%7Ctkp%3ABlBMUIr8r5vjXw
2,"Apple iPad Air - 9.7-inch, Space Gray, 32GB, Wi-Fi Only, Exclusive Bundle Deal",https://www.ebay.com/itm/173151062269?epid=170330392&_trkparms=ispr%3D1&hash=item28509b88fd:g:UgsAAOSwAG9fDx6l&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSDAeS9EQtjPGVfKXTxF0%252Bjq20hSBRnIYrqtRy2%252Bluduphs%252B7x450HR9F6ljnIvIuU2VJsbLdz0fnWIfIpIA4x%252BtTkyuDE8XGcx%252FFd6Ow4BOA%252FGaJ8DnYd8clfrSmVW7JjRCFeAIJbFooINM6FvIYUpK2NB%252B%252BLvPbsizRe%252Fza1SeJx3ww6XkYVQ1RiziALNhWP1V4IC%252FbDTL6%252FtYoJsj%252B4ZTaJScn11d5K6Y0XtBtau1FfUnJ4t4%252BvB91E0SFNroEZTUBEstEhBy2lTQZCZ3n9OTbfWNb9ZK6J3JyaA8X9tkHptLzD17aDa4EeUp06NPlyhXUEdJue1YX%252Fhrble99W1TnCx8SU9OLWTDHfSx9lUIq4wTOT1meoVHKQQhZbeHBt%252BL2zv1ErxfOzSNKjQP3UCdTl4%252BLm9rgZkYLi2GWKgYXA0kqKf5FN9ov7Zesm8h5lr2Yn7RZ8F98D1u2xeWfsMEIn%252BfL5GcnFRLLrCXC9eqfY7v5Oyo0yAkb%252BCy8445RNlGVlmrf5is0sAYGhdTi1zJCsbpz3SorNJRL%252BYPme8NUnCa%252BWpVrr33o1wWKf7X7mFv5MGXfDr1UywDOW1E51FxEO4p97jhpIkCPJTCuK1OQd4yfwhzKxTJ40hbnszzt%252Bin6kCn2dkJAzUdvuJd3tFtrgu0fSUoDTXbIcdDpPUt%252B8bPDmUG6sg9eMsfK%252Bd7pHHZIYDfiGz870STb4xECYgsm1vdcIhHn9AihSVCc859kmCXB7xPSpiVa80lvBOfFPUzdrG0Ss5KGjzZXJ7k1GV8zBYTG4Nvf%252Fwb7oBXhPPua4UZVj2r7rmDHqL1exsu%252Fe%7Cclp%3A2334524%7Ctkp%3ABFBMivyvm-Nf
3,"Apple iPad Pro 12.9"" 1st Gen 128GB WiFi + Cellular UNLOCKED ( VERY GGOD)",https://www.ebay.com/itm/403409194615?_trkparms=ispr%3D1&hash=item5ded0fce77:g:I9QAAOSwxRJh4MDr&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS%252BMKizvpuEDUfX4dvRWfUzU%252BBBJoGFkVaL1bVzCTdrWwz8Snqs09Ys3NJeCUhPzf9oizEeCpm07Wj0Pp4n6fQo7afpAVczZOc0Uyt3fq5PVlmH6XKwA20zr4IGSx5q2tfq3XNLI3OM4YkexcGelKhWk%252FRulhQqoOYG%252FlkpigTryEg8xdOzzqiyzflQOKSFmbp8E4IsM3jOkQxr6qz3qoAGy4UHRw76C%252BGNNi2iKtY8rfwESoQuga6b2IyilxLItVReu1%252B0Fb446qxQOu8JZ51iqwUE4bvnchaimIBkNlTip8twpCu9MQgg9al4VTgl70q7LoZGYVU85a6PMtmShHRrqytYSYKSMhJUqe8OLY%252FLlnr7Jp2zCDXFYM%252BasVEhpMiVCYPTSgn%252FgIIf4htRZS3xVA9Kt7WhRsL9fuAQ6yOrWCoKqCLJ6McpIZpZpwQdxyCD8523BBPX6MWT%252BOzttgmg8FKfrUKM01fjdtEuQJYyQ8UEEdxULre%252BuJPAv%252FoClOkh0FlsaHYCANpNNt1nH%252BryNKKgm4rOLx3dQPqeuX7KTPhBQ8vFA6EIU8fHBNm0Esa8ogMCm4ovsHbofCVMb4fFRD%252FbRMi0UBNJP2xGNs1glfJ35SG3fFe6qIv9rg4y2oseBCp6Npij8fvxD6ROe9Y2mPR7ey7ng9VaeVAmkQk%252BGQEQnwV9R93iUcAN6%252BQgcgYw2iM1YP4GDnWgoNYeYX6vXOZigdPRStVzhjcTgJL6gusDgyLXEnLLlfbnJJFG1%252BfvvRv0Ccrv3SkE2lQY9r0p0uv5%252BucPqCpO7rZJ1JPAGE9epv3WmNrV4DnDO38LNcp%7Cclp%3A2334524%7Ctkp%3ABFBMivyvm-Nf
4,Apple iPad 2nd 3rd 4th Generation 16GB 32GB 64GB 128GB PICK:GB - Color *Grade B*,https://www.ebay.com/itm/283242614554?_trkparms=ispr%3D1&hash=item41f2934f1a:g:F-gAAOSwfhlb22RE&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSwcmzw5CLtzTE60FqHcnq2NVKoGlbOmX41LNUtllr7ESaoTgxxcsWYOx6akFjCsa4tt5X3C9ThI2uD9OGLyEDZv9vewPd0wsgFg1gIJVuCmhsyKfGHU%252FP%252BYQ7f5zcWCl5q3rps6%252BmCUMpyec8%252F9GgSfufP715SMlx%252BW5qbDUKYlQ1Hg8rLH%252B4jcUkFggsf8MoBVreHnt%252FXUKLpIT%252BTGC6bnQsUmBNcso3t%252FG84zQOTnxLJURYtLvtsNUwPNHutLimJM9eXpA%252BvjbGEYFuqEMr11HofQIvdonOkutuGNj7pOIXfmCkTzE1NYCOGwFZwKe0AFXVVvQe15uApdhrDdNWrhbRp0v70%252B3NTAZc1umFs%252BRMAFDPQgbtNsOn%252F2G2A9CpfXaKLtgBB6vUKfRW%252FVeZk3COkPKiAXj%252B456Js2SUPohy%252B9kh8UVj7tpPsUYEHnpUEqMrbcud8KOTbMR%252FX4vz9Lf8DC8xOs15cxlFqflwfqGm5dulBYdQ6EijMFpcnnYHSNWJRzumUHhKBvW%252FNAJFRX7493qmuWmsixiQABMx8KzMXjyWZOd9oLQuRTyZd5UfdRGr3H1qBRhs%252BfhNvbbI6QeczCRcVeNJnYItPYtDms1d1XqcNmTzOcn36SQ%252BloteYx9D1wNPMwhmxW6ocEZ33GrnqfurRdM8OeSwi6uLLkcJbI7pISMUc%252FaLyuP1Veq7OuZgAue2fjHTan%252B1hKtNWGqLOw69ClTiDDySi1vxfNcIvo3ZnwSm%252FkdLvBjOATxL%252BSfYNQWltrcF6ZUe8LCinUgnFhQeicNG%252BCi45Y0h41Kit%252FiOj%252Bwd%252BLPe8nukCZV9%7Cclp%3A2334524%7Ctkp%3ABFBMivyvm-Nf
5,"2021 Apple 10.2"" iPad 9th Gen (Wi-Fi, 64GB) Space Gray_Latest Model _New Sealed ",https://www.ebay.com/itm/124935456177?epid=25049271524&hash=item1d16bbc5b1:g:kv0AAOSwGGRhXMXa
6,"2021 Apple 10.2"" iPad 9th Gen (Wi-Fi, 64GB) gray_Latest Model _New Sealed",https://www.ebay.com/itm/373845465686?epid=25049271524&hash=item570aed1a56:g:yusAAOSwYndhQhsT
7,"2021 Apple iPad 9th Gen 64/256GB WiFi 10.2"" Latest Model",https://www.ebay.com/itm/383791923777?epid=10049288082&hash=item595bc80241:g:5R0AAOSwMDZhTrQk
8,"Apple iPad 5th Gen 128GB, Wi-Fi, 9.7"" - Space Gray ",https://www.ebay.com/itm/224107103591?hash=item342dd30567:g:QFgAAOSwWxNY09V~
9,Apple iPad 6 (6th Generation) - 32GB - Wi-Fi 9.7in Space Gray,https://www.ebay.com/itm/265538741609?epid=243957293&hash=item3dd357a569:g:sz8AAOSwWBtiAXxI
